asin,title,price_inr,rating_out_of_5,review_count,product_url,search_query,page,collected_at_utc
B0GHYBDYW5,"Zebronics Wireless Mouse, 2.4GHz, 3200 DPI, 3 Buttons, Comfortable & Ergonomic, USB Nano Receiver, On/Off Switch, Power-Saving Mode, Works on Most Surfaces, for Mac | Laptop | Computer (Freego, Blue)",229.0,3.8,3800,https://www.amazon.in/dp/B0GHYBDYW5,wireless mouse,1,2026-08-27T10:32:24.759460+00:00
B0GHY1645B,"Zebronics Wireless Mouse, 2.4GHz, 3200 DPI, 3 Buttons, Comfortable & Ergonomic, USB nano Receiver, On/Off Switch, Power-Saving Mode, Works on Most Surfaces, for Mac | Laptop | Computer (Freego, Green)",249.0,3.8,3800,https://www.amazon.in/dp/B0GHY1645B,wireless mouse,1,2026-08-27T10:32:24.759460+00:00
B0DDTL9PB6,"ZEBRONICS Dash Pro 2.4GHz Wireless Mouse, Upto 1600 DPI, 3 Level DPI, High Precision, Power Saving Mode, Comfortable & Lightweight, for Mac | Laptop | Computer (Black)",269.0,3.7,1385,https://www.amazon.in/dp/B0DDTL9PB6,wireless mouse,1,2026-08-27T10:32:24.759460+00:00
B0B296NTFV,"Portronics Toad 23 Wireless Optical Mouse with 2.4GHz, USB Nano Dongle, Optical Orientation, Click Wheel, Adjustable DPI(Black)",279.0,4.0,16195,https://www.amazon.in/dp/B0B296NTFV,wireless mouse,1,2026-08-27T10:32:24.759460+00:00
B0GCDTYXNZ,"Zen-Slim Wireless Mouse with Rechargeable Battery, BT + 2.4GHz, 4 Buttons, 800/1200/1600 DPI, Silent Operation, Multicolor LED Lights",299.0,4.6,26,https://www.amazon.in/dp/B0GCDTYXNZ,wireless mouse,1,2026-08-27T10:32:24.759460+00:00
B0DGGW7FFS,"Portronics Toad 34 Wireless Mouse with 2.4 GHz Wireless, Adjustable Sensitivity, USB Receiver, Ergonomic Design, for Laptops, Desktops PC, Mac (Grey)",311.0,4.0,1790,https://www.amazon.in/dp/B0DGGW7FFS,wireless mouse,1,2026-08-27T10:32:24.759460+00:00
B0DXNY14GL,HP M290 Wireless Mouse (AB3C7AA),419.0,3.8,936,https://www.amazon.in/dp/B0DXNY14GL,wireless mouse,1,2026-08-27T10:32:24.759460+00:00
B0GDTSH5BW,"Zebronics Wireless Mouse, Dual Mode 2.4GHz + BT, Up to 1600 DPI, USB Nano Receiver, Lightweight Design, Multicolor LED Lights, Rechargeable Battery (Blanc, Grey)",429.0,4.0,8956,https://www.amazon.in/dp/B0GDTSH5BW,wireless mouse,1,2026-08-27T10:32:24.759460+00:00
B01J0XWYKQ,"Logitech B170 USB Mouse,12-Months Battery Life, Ambidextrous, PC/Mac/Laptop - Black",495.0,4.3,79062,https://www.amazon.in/dp/B01J0XWYKQ,wireless mouse,1,2026-08-27T10:32:24.759460+00:00
B0FKPXG5R8,Acer Bubble Wireless Mouse AMR100 | 2.4GHz Silent Click | 1600 DPI | Ergonomic | AA Battery | Win8/10/11 | Compact Lightweight Design | Color: Peach,499.0,4.3,857,https://www.amazon.in/dp/B0FKPXG5R8,wireless mouse,1,2026-08-27T10:32:24.759460+00:00
B0D18192T2,"Logitech M186 Wireless Mouse, 2.4GHz with USB Mini Receiver, 3 Years Battery Life, 1000 DPI Optical Tracking, Ambidextrous, Compatible with PC, Mac, Laptop",545.0,4.1,4602,https://www.amazon.in/dp/B0D18192T2,wireless mouse,1,2026-08-27T10:32:24.759460+00:00
B0CP9MQ3W9,"Arctic Fox Pureview Transparent Wireless and Bluetooth Rechargeable Mouse, USB Receiver,LED Battery Magic Silm for Office/PC/Mac/Laptop/Apple/ipad(Paste Green)",659.0,4.4,9251,https://www.amazon.in/dp/B0CP9MQ3W9,wireless mouse,1,2026-08-27T10:32:24.759460+00:00
B07JPX9CR7,"Dell WM118 Wireless Mouse, 1000DPI, 2.4 Ghz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Plug and Play, Ambidextrous - Black",674.0,4.1,16782,https://www.amazon.in/dp/B07JPX9CR7,wireless mouse,1,2026-08-27T10:32:24.759460+00:00
B0BG8LZNYL,"Portronics Toad One Bluetooth Mouse with 2.4 GHz & BT 5.3 Dual Wireless, 6 Buttons, Rechargeable, RGB Lights, Connect 3 Devices, Ergonomic Design for Laptop, Smartphone, Tablet (Black)",699.0,4.3,9814,https://www.amazon.in/dp/B0BG8LZNYL,wireless mouse,1,2026-08-27T10:32:24.759460+00:00
B0CQRNWJM2,"ZEBRONICS Blanc Slim Wireless Mouse with Rechargeable Battery, BT + 2.4GHz, 4 Buttons, 800/1200/1600 DPI, Silent Operation, Multicolor LED Lights",,4.0,8956,https://www.amazon.in/dp/B0CQRNWJM2,wireless mouse,1,2026-08-27T10:32:24.759460+00:00
B0FF4XBM5N,"ZEBRONICS Wireless Mouse, 2.4GHz, 3200 DPI, 3 Buttons, Comfortable & Ergonomic, USB Nano Receiver, Power-Saving Mode, Works on Most Surfaces, for Mac | Laptop | Computer (Freego, Black)",,3.8,3800,https://www.amazon.in/dp/B0FF4XBM5N,wireless mouse,1,2026-08-27T10:32:24.759460+00:00
